x,y,token
-54.634922,9.568727,hope
53.171494,-37.009747,white
-26.511229,-50.211693,few
-44.891457,2.6910317,really
5.3122034,71.73217,32
21.534142,62.62818,spake
-49.17549,24.985588,dear
56.616505,13.260883,gold
-18.424551,53.57032,Who
-55.434196,9.159625,believe
22.252934,38.16945,taken
2.8353121,46.60344,Father
22.524384,19.640228,stand
-44.764023,7.8253903,none
47.26298,45.8505,Egypt
-57.283386,-41.347748,Marianne
-11.964279,53.19539,art
-1.0192074,59.47899,Behold
5.2137084,31.427893,mouth
-14.94188,45.01639,call
1.9339479,36.928566,fear
-62.92841,-3.9498198,known
41.87047,7.383863,sword
51.232376,57.06407,year
54.93391,-32.855305,feet
-53.150707,-5.7221155,felt
63.797012,21.649858,four
50.87443,-23.056961,air
18.826015,65.02369,servant
4.664542,71.56366,33
34.845196,12.913745,strong
6.772414,-59.671623,Ahab
-47.5086,-22.063435,present
28.403658,41.76999,near
7.740033,47.186172,Christ
25.138552,68.14738,sister
-59.75037,-3.1481707,asked
-13.191861,-40.332504,sort
1.1861935,57.866776,Thus
3.7698522,43.26835,peace
-52.689156,-28.348753,however
32.710567,49.96318,servants
-48.833015,23.184088,Well
-32.260662,-7.295442,within
5.2850127,42.45328,power
-34.320904,4.336438,best
29.895817,26.940697,cast
-39.863995,21.110603,does
21.316616,67.50464,fathers
-3.4170346,-56.17923,looking
30.718172,61.89891,brethren
-39.97347,32.358963,why
63.678562,22.313826,five
-57.308903,-41.35629,Anne
-53.291176,-41.707222,Captain
-0.8746393,-36.946045,small
31.564587,-59.846985,sat
25.202534,68.05548,daughter
-55.115097,12.573171,mean
5.5997777,71.83598,34
-5.502822,-56.929688,Turnbull
-51.488205,-44.365807,Sir
-42.52984,6.053281,else
21.97061,-56.65623,open
-54.82472,11.736361,want
-62.626625,11.59638,whether
-46.21826,-2.6042707,happy
-6.592767,38.767437,live
64.105064,22.335396,seven
20.151762,20.981527,turn
33.567097,25.419722,cut
-7.8230157,42.30516,return
-39.481907,-43.80256,next
-7.072814,-60.67422,",'"
33.35897,43.38533,fell
15.999711,21.783806,child
44.20004,25.830004,holy
57.94009,-21.309397,sun
59.765366,2.765585,above
44.483128,49.982716,cities
17.428602,10.887726,At
-5.5350046,-56.90117,Syme
26.468994,52.39327,certain
-47.344536,-22.13264,least
5.3867526,45.59217,glory
-48.958992,23.014526,Yes
35.8033,20.514677,flesh
36.71356,10.900109,ground
-36.593708,-45.1211,coming
-49.78958,-23.407692,manner
-8.995623,29.503635,hold
