x,y,token
-26.793741,-27.612427,ऊपर
-3.7548873,7.0655246,दल
-24.222702,-0.32494226,जगह
25.449316,-23.854301,जबक
-21.097876,-12.2929535,बज
-15.048868,-24.498873,लकर
-8.322765,34.170174,करण
-3.6312134,-24.894436,शहर
-20.990852,-20.03889,चलत
-21.237156,22.272776,आस
-0.35340357,-30.623491,़ो
2.8668242,-25.882877,हव
-36.865185,-5.3591213,उसस
-3.0495362,5.690681,"ों,"
-12.577389,-16.947672,गन
-0.52907515,12.251363,सप
-11.087967,-38.263657,पढ
-23.46224,8.392956,घटन
-7.794609,15.996788,रज
24.50975,5.3254027,नल
-47.16434,-12.614817,ूँ
39.978294,27.039055,लगभग
-13.064068,12.248384,"ें,"
2.649516,-20.518496,रफ
-16.792437,27.826052,तव
-25.048899,15.759846,आम
17.391426,11.347145,चक
-34.13516,-16.485771,मद
-38.99005,-21.806635,आदम
-30.413485,12.425585,रखन
29.42252,-4.600007,यल
-17.47283,-21.9131,तल
20.847868,1.5449603,डल
-31.482344,-30.44316,तरफ
-22.009647,35.275066,उपय
20.903536,14.654255,रपत
-26.012596,34.993156,आवश
-5.1494102,-0.90579855,दव
7.857732,29.607574,"ि,"
-38.102207,-25.14694,वजह
39.43228,35.205883,२
1.8914742,6.208907,लम
26.698975,7.3754053,टक
-29.738619,32.19817,समर
39.713398,34.629917,१
-16.625744,32.409615,उच
-16.115923,23.792189,उल
-33.037685,-22.631893,आए
1.5654441,14.126912,रप
40.568455,-1.8674257,एस
-27.7764,16.760721,परन
-20.556437,-14.139361,चत
29.612803,5.958299,टल
-40.15204,-12.473998,!
6.8436236,20.180847,हन
-12.825254,-33.72247,उड
41.38835,28.921638,हज
-31.08208,22.036753,वय
39.134567,1.2777847,उ
-12.969258,31.576162,षत
-29.626116,32.175674,थक
-3.316937,-5.4319606,वज
-3.0010517,-15.097707,मदद
-6.846677,39.737617,अथव
-11.9082,0.85693413,अद
10.447113,-22.88745,अफ
41.46226,4.5701613,इक
