x,y,token
-10.430708,-19.228008,सब
-17.860836,16.630291,जध
28.757751,17.365803,“
-11.238394,3.4553683,उल
-13.141676,-17.56023,कभ
-21.1144,13.368603,‍
-18.688404,20.267344,षय
-28.172285,-2.8762336,पण
-4.0708814,2.8956742,आक
-36.443203,5.8319225,भगव
-4.7389994,-23.03486,रज
2.1169162,-7.959894,रहत
-19.746439,-4.7279773,मल
-3.0908217,-21.123108,खर
-33.52292,-0.90635675,उर
-7.8618317,13.243034,रदर
-5.278022,-20.877073,डर
8.688433,21.758003,नई
14.364087,17.90252,गम
0.8449364,28.64043,हस
-8.119333,-28.066961,अह
17.556808,-30.460981,ईस
-8.835117,18.487293,जव
-16.897264,-6.4531426,|
-12.402213,-19.465736,अच
7.3190675,-11.887063,ुँ
-24.741644,-8.832319,वज
8.211989,21.565323,लव
41.758743,7.6421494,;
-17.498312,-8.329217,उप
-25.075832,0.47374538,चर
-7.372996,-21.311195,इसम
6.1916485,13.439664,ऊ
-23.74844,-8.960577,रहन
-22.974615,18.096893,यव
29.82573,15.456556,>
-2.8980916,14.868104,अश
7.666709,-4.7911673,पट
-12.445347,-0.18109378,आम
-15.674295,-10.5172,हट
-17.888414,-21.69226,कहत
-20.97627,-20.869858,ैं.
-1.641122,14.594571,ौं
-17.300573,5.8525586,उपलब
-36.45564,5.8273363,‌
-10.583028,30.973438,जम
-9.6094,10.463451,समस
-13.950306,27.281044,यण
2.5698884,-24.206688,लड
28.479948,16.180872,”
20.911863,-13.8366,लर
-31.727755,-6.2628384,भक
-5.236654,-18.818228,"ा,"
22.91517,-4.7181,/
-5.9890656,10.306501,यस
-35.24639,-9.55414,आवश
-30.32663,-2.8327048,समर
45.657772,5.7684927,एस
-19.931671,-18.56626,अगर
-28.605791,-7.0521884,आस
-32.002483,-7.083811,णन
-32.176178,3.5213082,फल
-22.225298,11.909711,वय
27.904257,-10.284924,इड
-28.34727,4.788,जनत
5.205258,-15.961422,डन
-22.194853,-14.586259,सस
-13.336333,-15.725021,अद
-20.449533,-16.210629,बदल
-18.649122,-8.829237,घटन
9.76146,-17.977718,धक
-31.065195,6.1445303,समझ
-24.922083,-5.250227,रखन
-8.093265,15.284416,रथम
0.7973977,-21.696302,उठ
